name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8962-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8962-aut9.mata;0.0; 0.0017682; 0.0007; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8966-aut1.mata;0.0; 0.00195892; 0.0006; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8966-aut10.mata;0.0; 0.00199894; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8966-aut2.mata;0.0; 0.00190062; 0.0008; 3; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query8966-aut9.mata;0.0; 0.00173213; 0.0007; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9049-aut1.mata;0.0; 0.00191021; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9049-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9049-aut2.mata;0.0; 0.0019536; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9049-aut9.mata;0.0; 0.00190108; 0.0008; 3; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9063-aut1.mata;0.0; 0.00169418; 0.0008; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9063-aut10.mata;0.0; 0.00169754; 0.0007; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9063-aut2.mata;0.0; 0.00189825; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9063-aut9.mata;0.0; 0.00171335; 0.0008; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9064-aut1.mata;0.0; 0.00181283; 0.0008; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9064-aut10.mata;0.0; 0.00189746; 0.0008; 3; 6
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9064-aut2.mata;0.0; 0.00189047; 0.0006; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9064-aut9.mata;0.0; 0.00189641; 0.0007; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9066-aut1.mata;0.0; 0.00188367; 0.0009; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9066-aut10.mata;0.0; 0.00171987; 0.0008; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9066-aut2.mata;0.0; 0.00192892; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9066-aut9.mata;0.0; 0.00169619; 0.0008; 1; 2
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9070-aut1.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9070-aut10.mata;0.0; 0.00195982; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9070-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9070-aut9.mata;0.0; 0.00195258; 0.0007; 5; 7
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9132-aut1.mata;0.0; 0.0019186; 0.0007; 2; 4
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9132-aut10.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9132-aut2.mata;TO;TO;TO;TO;TO
automata/nfa-bench/benchmarks/bool_comb/ere/QF_S_sygus_qgen-queries-query9132-aut9.mata;0.0; 0.00178799; 0.0008; 2; 5
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-sat-comp1_inclusion_unsat-aut1.mata;0.0; 0.000327911; 0.0005; 10; 9
automata/nfa-bench/benchmarks/bool_comb/ere/boolean_and_loops-sat-comp1_inclusion_unsat-aut2.mata;TO;TO;TO;TO;TO
