name;simulation-runtime;simulation-parsing;simulation-reduction;simulation-states;simulation-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;1.24; 0.691942; 0.5647; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;1.44; 0.784493; 0.6646; 11; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;1.27; 0.696421; 0.5670; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;1.42; 0.779492; 0.6402; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;1.36; 0.748666; 0.6347; 11; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;1.43; 0.778061; 0.6431; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;1.38; 0.752752; 0.6207; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;1.42; 0.781838; 0.6403; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;1.25; 0.692646; 0.5669; 10; 10
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;1.33; 0.681389; 0.6439; 18; 20
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;1.02; 0.57859; 0.4663; 15; 16
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;1.31; 0.682723; 0.6209; 19; 21
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;1.04; 0.579284; 0.4660; 15; 16
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;1.41; 0.720891; 0.6911; 15; 16
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;1.26; 0.648931; 0.6027; 15; 16
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;13.07; 6.90913; 6.0915; 103; 172
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.81; 0.36455; 0.4482; 11; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;13.09; 6.9009; 6.1255; 103; 172
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.12; 0.522055; 0.6026; 23; 26
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;13.0; 6.85272; 6.0881; 103; 172
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.13; 0.518301; 0.6005; 23; 26
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.95; 1.71838; 0.2329; 13; 14
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.22; 0.225446; 0.0066; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.92; 1.71359; 0.2356; 13; 14
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.21; 0.223388; 0.0066; 8; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00117538; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.09; 0.0882423; 0.0125; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;3.44; 1.56069; 1.8732; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.1; 0.0892572; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000548501; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.1; 0.0895113; 0.0125; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.13; 0.125992; 0.0180; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.1; 0.0893141; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.15; 0.137964; 0.0195; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.1; 0.0893735; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.22; 0.188012; 0.0298; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.1; 0.0888737; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;3.47; 1.58046; 1.9090; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.09; 0.0888022; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.22; 0.199227; 0.0285; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.1; 0.0890229; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.22; 0.196413; 0.0313; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.09; 0.0887993; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.25; 0.222816; 0.0320; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.11; 0.103874; 0.0128; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.2; 0.188655; 0.0303; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.09; 0.0890097; 0.0126; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00246132; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.1; 0.0898575; 0.0127; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.29; 0.256053; 0.0362; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.1; 0.0888422; 0.0128; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.26; 0.226579; 0.0320; 5; 5
