name;hopcroft-runtime;hopcroft-parsing;hopcroft-reduction;hopcroft-states;hopcroft-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;0.72; 0.719646; 0.0164; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.64; 0.639362; 0.0149; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;6.84; 6.93722; 0.1052; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.36; 0.359883; 0.0122; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;6.97; 6.9795; 0.1055; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;0.53; 0.521895; 0.0161; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;6.91; 6.98074; 0.1059; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.54; 0.520136; 0.0156; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.77; 1.74313; 0.0208; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.22; 0.223253; 0.0026; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.75; 1.77809; 0.0208; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.22; 0.222833; 0.0026; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00118412; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.08; 0.0869668; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;1.6; 1.60378; 0.0534; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.09; 0.0872481; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000594032; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.08; 0.0871659; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.12; 0.122365; 0.0015; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.08; 0.0869985; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.13; 0.133985; 0.0016; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.08; 0.0870076; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.18; 0.183224; 0.0022; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.09; 0.0873101; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;1.63; 1.55229; 0.0530; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.08; 0.0874168; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.2; 0.196464; 0.0023; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.09; 0.0863364; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.18; 0.184765; 0.0022; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.08; 0.0867197; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.21; 0.217765; 0.0026; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.0870414; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.18; 0.185864; 0.0022; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.08; 0.0862601; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00242619; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0865123; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.25; 0.24828; 0.0029; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.08; 0.0873368; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.19; 0.215729; 0.0026; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.09; 0.0871657; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.24; 0.251497; 0.0030; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.08; 0.0867685; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.24; 0.247642; 0.0029; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.08; 0.0870101; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.24; 0.249467; 0.0030; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.0872743; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0251746; 0.0003; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.08; 0.0874278; 0.0014; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.24; 0.249906; 0.0030; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.08; 0.0873724; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00117767; 0.0001; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.086553; 0.0013; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00141646; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.08; 0.0876023; 0.0014; 5; 5
