name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;3.47; 1.52268; 1.9565; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00583674; 0.0008; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;3.46; 1.51973; 1.9646; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00192996; 0.0005; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;3.45; 1.521; 2.0410; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00582449; 0.0008; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;3.51; 1.54619; 2.0476; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0245783; 0.0023; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;3.48; 1.55392; 1.9702; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00585659; 0.0008; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;3.49; 1.58394; 1.9706; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0690796; 0.0090; 5; 8
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;3.46; 1.53473; 1.9548; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.02; 0.0247531; 0.0024; 5; 9
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;3.5; 1.525; 1.9679; 10; 11
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.0827527; 0.0126; 5; 9
